university,count,lat,lng,place_id,formatted_address
Northern Arizona University,2,35.1802684,-111.6540336,ChIJ3SD_ZGWPLYcR6VtWfrhi5Us,"S San Francisco St, Flagstaff, AZ 86011, USA"
Northern Illinois University,3,41.934194,-88.77387829999999,ChIJp3xwUMEqD4gRAHwPGX3v3zs,"Barsema Alumni and Visitors Center, 231 N Annie Glidden Rd, DeKalb, IL 60115, USA"
Northern Kentucky University,2,39.0312035,-84.4625345,ChIJ6RaLC26wQYgRVJT24LyA4j4,"1 Louie B Nunn Dr, Highland Heights, KY 41099, USA"
Northwest Nazarene University,2,43.5614966,-116.5656946,ChIJHx8UlgdMrlQRURjYB0_QbG4,"623 S University Blvd, Nampa, ID 83686, USA"
Nottingham Trent University,1,52.9581371,-1.1542327,ChIJc2tucz_CeUgRUNjDIE-SFTc,"50 Shakespeare St, Nottingham NG1 4FQ, UK"
Nova Southeastern,1,26.0786011,-80.2457075,ChIJP64CCSWo2YgRtpDSAVz346g,"3300 S University Dr, Fort Lauderdale, FL 33328, USA"
Nova Southeastern University,21,26.0786011,-80.2457075,ChIJP64CCSWo2YgRtpDSAVz346g,"3300 S University Dr, Fort Lauderdale, FL 33328, USA"
Oakland University,1,42.6678782,-83.20823469999999,ChIJP1-JSpLqJIgRmUDBbbDvlOk,"201 Meadow Brook Rd, Rochester, MI 48309, USA"
Ohio Northern University,1,40.7656634,-83.83284789999999,ChIJmde4EjvHPogRW2FFb6oj2ro,"525 S Main St, Ada, OH 45810, USA"
Ohio State University,5,40.0060889,-83.0282624,ChIJs6fo3Y-OOIgRj4dWIQjYLKs,"281 W Lane Ave, Columbus, OH 43210, USA"
Ohio University,6,39.324358,-82.10138889999999,ChIJswiEvrhzSIgR9udJdKNks2s,"Athens, OH 45701, USA"
Oklahoma State University,3,36.126572,-97.07348209999999,ChIJ_3VGkxYKsYcRbAtJw-3gjiQ,"Stillwater, OK, USA"
